"file","lines","covered","percent"
"R/warm_start_adaptive.R",94,91,96.8085106382979
"R/warm_start_bundle.R",67,67,100
"R/warm_start_calibration.R",51,51,100
"R/warm_start_coefficients.R",28,27,96.4285714285714
"R/warm_start_cv.R",90,89,98.8888888888889
"R/warm_start_ensemble.R",83,80,96.3855421686747
"R/warm_start_feature_schema.R",33,33,100
"R/warm_start_features.R",72,72,100
"R/warm_start_model_artifact.R",106,106,100
"R/warm_start_model_io.R",37,37,100
"R/warm_start_model_registry.R",87,84,96.551724137931
"R/warm_start_model.R",130,130,100
"R/warm_start_predict.R",19,19,100
"R/warm_start_predictions.R",49,49,100
"R/warm_start_preprocess.R",92,92,100
"R/warm_start_prior.R",130,124,95.3846153846154
"R/warm_start_python.R",77,77,100
"R/warm_start_tune.R",112,112,100
"R/warm_start_validation.R",104,104,100
