"file","lines","covered","percent"
"R/adaptive_benchmark_metrics.R",343,341,99.4169096209913
"R/adaptive_btl_refit.R",6051,5655,93.455627169063
"R/adaptive_candidates.R",82,81,98.780487804878
"R/adaptive_constraints.R",32,32,100
"R/adaptive_linking_calibration.R",380,374,98.4210526315789
"R/adaptive_linking_phase_a.R",2028,1966,96.9428007889546
"R/adaptive_logs.R",214,212,99.0654205607477
"R/adaptive_pairing_strategy.R",98,98,100
"R/adaptive_persist.R",1088,1080,99.2647058823529
"R/adaptive_print.R",1759,1723,97.9533826037521
"R/adaptive_rank.R",674,674,100
"R/adaptive_replay_reservoir.R",160,160,100
"R/adaptive_replay_selection.R",38,38,100
"R/adaptive_replay.R",86,86,100
"R/adaptive_round_candidates.R",2116,2012,95.0850661625709
"R/adaptive_run.R",3450,3357,97.304347826087
"R/adaptive_schemas.R",405,404,99.7530864197531
"R/adaptive_select.R",2748,2617,95.2328966521106
"R/adaptive_simulation_harness.R",285,285,100
"R/adaptive_state.R",1658,1579,95.2352231604343
"R/adaptive_step.R",1249,1203,96.3170536429143
"R/adaptive_trueskill.R",111,111,100
"R/adaptive_utility.R",38,38,100
"R/anthropic_batch_api.R",431,430,99.7679814385151
"R/anthropic_live.R",481,477,99.1683991683992
"R/api_keys.R",111,111,100
"R/batch_retrieval.R",47,47,100
"R/bayes_btl_mcmc_adaptive.R",442,436,98.6425339366516
"R/bayes_btl_mcmc.R",374,373,99.7326203208556
"R/bayes_btl_summarize.R",99,99,100
"R/bt_helpers.R",35,35,100
"R/bt_model.R",151,151,100
"R/btl_mcmc_constraints.R",109,108,99.0825688073395
"R/btl_mcmc_contracts.R",760,743,97.7631578947368
"R/btl_mcmc_fit_contracts.R",333,323,96.996996996997
"R/btl_mcmc_ingest.R",75,75,100
"R/btl_mcmc_model_variant.R",12,12,100
"R/btl_mcmc_resources.R",91,91,100
"R/btl_mcmc_state.R",91,91,100
"R/btl_mcmc_stopping.R",12,12,100
"R/btl_mcmc_summaries.R",338,338,100
"R/btl_mcmc_theta_summary_stubs.R",6,6,100
"R/core_budget.R",42,41,97.6190476190476
"R/cost_estimator.R",354,351,99.1525423728814
"R/custom_id.R",10,10,100
"R/data_import.R",37,37,100
"R/draws_sanitize.R",48,48,100
"R/elo_model.R",107,107,100
"R/gemini_batch_api.R",713,710,99.5792426367461
"R/gemini_live.R",508,502,98.8188976377953
"R/gemini_params.R",15,15,100
"R/httr2_retry.R",206,206,100
"R/llm_backends.R",240,240,100
"R/llm_batch.R",126,126,100
"R/llm_multi_batch.R",569,565,99.2970123022847
"R/normalize_results.R",663,659,99.3966817496229
"R/ollama_live.R",500,495,99
"R/openai_batch_api.R",457,457,100
"R/openai_live.R",365,363,99.4520547945205
"R/openai_params.R",69,69,100
"R/pairing.R",118,118,100
"R/prompt_template.R",104,104,100
"R/reverse_consistency.R",230,229,99.5652173913043
"R/rubric_calibration.R",148,143,96.6216216216216
"R/rubric_cj_contract.R",208,208,100
"R/rubric_cj_linked.R",143,141,98.6013986013986
"R/rubric_diagnostics.R",104,104,100
"R/rubric_linked_anchors.R",51,51,100
"R/rubric_metrics.R",134,134,100
"R/rubric_ordinal_linear.R",115,113,98.2608695652174
"R/rubric_ordinal_monotone.R",156,154,98.7179487179487
"R/rubric_percentile.R",34,34,100
"R/rubric_validation.R",91,89,97.8021978021978
"R/seed_helpers.R",5,5,100
"R/together_live.R",436,431,98.8532110091743
"R/traits.R",34,34,100
"R/utils-null-coalesce.R",5,5,100
"R/vertex_live.R",586,586,100
"R/warm_start_adaptive.R",94,94,100
"R/warm_start_algorithm_ensemble.R",117,117,100
"R/warm_start_bundle.R",76,76,100
"R/warm_start_calibration.R",51,51,100
"R/warm_start_coefficients.R",36,35,97.2222222222222
"R/warm_start_cv_plan.R",79,76,96.2025316455696
"R/warm_start_cv.R",121,120,99.1735537190083
"R/warm_start_engine.R",42,40,95.2380952380952
"R/warm_start_ensemble.R",87,85,97.7011494252874
"R/warm_start_feature_schema.R",36,36,100
"R/warm_start_features.R",83,83,100
"R/warm_start_format3.R",77,77,100
"R/warm_start_model_artifact.R",111,111,100
"R/warm_start_model_io.R",37,37,100
"R/warm_start_model_registry.R",97,94,96.9072164948454
"R/warm_start_model.R",149,149,100
"R/warm_start_pls_validation.R",116,114,98.2758620689655
"R/warm_start_pls.R",98,97,98.9795918367347
"R/warm_start_predict.R",29,29,100
"R/warm_start_predictions.R",54,54,100
"R/warm_start_preprocess.R",92,92,100
"R/warm_start_prior.R",139,139,100
"R/warm_start_python.R",77,77,100
"R/warm_start_svr_validation.R",126,123,97.6190476190476
"R/warm_start_svr.R",111,111,100
"R/warm_start_tune.R",112,112,100
"R/warm_start_validation.R",112,112,100
