"package","version"
"BradleyTerry2","1.1.3"
"cli","3.6.6"
"cmdstanr","0.9.0"
"covr","3.6.5"
"curl","8.0.0"
"devtools","2.5.2"
"dplyr","1.2.1"
"e1071","1.7.17"
"EloChoice","0.29.4"
"future","1.75.0"
"future.apply","1.20.2"
"glmnet","5.0"
"httr2","1.3.0"
"jsonlite","2.0.0"
"knitr","1.52"
"lintr","3.4.0"
"mgcv","1.9.4"
"mockery","0.4.5"
"ordinal","2026.7.26"
"pairwiseLLM","1.5.2"
"parallelly","1.48.0"
"pkgdown","2.2.1"
"pkgload","1.5.3"
"pls","2.9.0"
"purrr","1.2.2"
"rcmdcheck","1.4.0"
"readr","2.2.0"
"reticulate","1.47.0"
"rlang","1.3.0"
"rmarkdown","2.32"
"roxygen2","8.1.0"
"sessioninfo","1.2.4"
"sirt","4.2.133"
"stats","4.6.1"
"stringr","1.6.0"
"testthat","3.3.2"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tools","4.6.1"
"utils","4.6.1"
"vctrs","0.7.3"
"withr","3.0.3"
